{'nb_hidden3': 487, 'nb_hidden2': 92, 'nb_hidden1': 486, 'mse': 1.2092587e+08, 'learning_rate': 0.0093226398591830413, 'keep_value': 0.87167962597867699, 'reg_scale': 1.2824062889821774e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 303, 'nb_hidden2': 79, 'nb_hidden1': 53, 'mse': 1.213728e+08, 'learning_rate': 22.840864863707992, 'keep_value': 0.55404750939378922, 'reg_scale': 0.00016440505212670815, 'nb_hidden_layer': 2}
{'nb_hidden3': 11, 'nb_hidden2': 399, 'nb_hidden1': 437, 'mse': 1.2140316e+08, 'learning_rate': 69.6658784649685, 'keep_value': 0.17730682733725089, 'reg_scale': 4.0459086892831489e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 10, 'nb_hidden2': 312, 'nb_hidden1': 209, 'mse': 1.2078731e+08, 'learning_rate': 0.38968561960094256, 'keep_value': 0.8498365624673625, 'reg_scale': 0.095107611167725328, 'nb_hidden_layer': 3}
{'nb_hidden3': 202, 'nb_hidden2': 350, 'nb_hidden1': 474, 'mse': 1.2086068e+08, 'learning_rate': 1.6993304454418534, 'keep_value': 0.081571574846109551, 'reg_scale': 1.8751072863049155e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 144, 'nb_hidden2': 105, 'nb_hidden1': 382, 'mse': 1.2070556e+08, 'learning_rate': 0.00032755844285437007, 'keep_value': 0.98220457292801455, 'reg_scale': 7.5862972080153744e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 296, 'nb_hidden2': 347, 'nb_hidden1': 471, 'mse': 1.2076902e+08, 'learning_rate': 0.033677811635162237, 'keep_value': 0.010873378524751454, 'reg_scale': 3.0565214425166152e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 277, 'nb_hidden2': 347, 'nb_hidden1': 421, 'mse': 1.2090651e+08, 'learning_rate': 0.02661312204040547, 'keep_value': 0.5479195795848244, 'reg_scale': 1.680494365047188e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 366, 'nb_hidden2': 130, 'nb_hidden1': 183, 'mse': 1.2114073e+08, 'learning_rate': 0.0010874170462036945, 'keep_value': 0.87607640072488058, 'reg_scale': 0.0048263284292932541, 'nb_hidden_layer': 1}
{'nb_hidden3': 416, 'nb_hidden2': 327, 'nb_hidden1': 450, 'mse': 1.2083817e+08, 'learning_rate': 0.090314964400598677, 'keep_value': 0.54716248353817987, 'reg_scale': 5.5626218066185883e-05, 'nb_hidden_layer': 1}
