{'nb_hidden3': 291, 'nb_hidden2': 166, 'nb_hidden1': 105, 'mse': 0.00216965, 'learning_rate': 0.0013134394369699262, 'keep_value': 0.35043753406991263, 'reg_scale': 2.2128947161188448e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 401, 'nb_hidden2': 286, 'nb_hidden1': 135, 'mse': 20973.73, 'learning_rate': 1.3769977821574422, 'keep_value': 0.1833638596760494, 'reg_scale': 0.10435771808590025, 'nb_hidden_layer': 3}
{'nb_hidden3': 19, 'nb_hidden2': 159, 'nb_hidden1': 375, 'mse': 0.35304403, 'learning_rate': 0.87173130031372514, 'keep_value': 0.76823873353474637, 'reg_scale': 4.1405293474377642e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 472, 'nb_hidden2': 163, 'nb_hidden1': 138, 'mse': 0.13041705, 'learning_rate': 1.0547902613653532e-05, 'keep_value': 0.0024112156638637083, 'reg_scale': 1.4207973189501629e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 28, 'nb_hidden2': 33, 'nb_hidden1': 257, 'mse': 0.08531113, 'learning_rate': 6.3709514246172415e-05, 'keep_value': 0.57364734494772018, 'reg_scale': 0.084116155542753146, 'nb_hidden_layer': 3}
{'nb_hidden3': 121, 'nb_hidden2': 309, 'nb_hidden1': 178, 'mse': 0.079686604, 'learning_rate': 0.023994964146901412, 'keep_value': 0.17109997466987426, 'reg_scale': 0.00028973325110638788, 'nb_hidden_layer': 2}
{'nb_hidden3': 223, 'nb_hidden2': 63, 'nb_hidden1': 296, 'mse': 0.64069384, 'learning_rate': 0.015295108554241462, 'keep_value': 0.028285223529707304, 'reg_scale': 1.1476473466029147e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 367, 'nb_hidden2': 396, 'nb_hidden1': 68, 'mse': 0.010916993, 'learning_rate': 0.00059022916823921331, 'keep_value': 0.66145484919594877, 'reg_scale': 3.2262036063441415e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 273, 'nb_hidden2': 27, 'nb_hidden1': 31, 'mse': 0.23244181, 'learning_rate': 0.0053636881777347559, 'keep_value': 0.85164406509620061, 'reg_scale': 0.054355801388494107, 'nb_hidden_layer': 1}
{'nb_hidden3': 335, 'nb_hidden2': 446, 'nb_hidden1': 368, 'mse': 0.38805974, 'learning_rate': 0.014322815197222597, 'keep_value': 0.13649449299963279, 'reg_scale': 0.0001105050441361609, 'nb_hidden_layer': 2}
{'nb_hidden3': 371, 'nb_hidden2': 483, 'nb_hidden1': 198, 'mse': 51.657249, 'learning_rate': 0.75493728136443594, 'keep_value': 0.43166002426486716, 'reg_scale': 0.0044323521399419466, 'nb_hidden_layer': 2}
{'nb_hidden3': 242, 'nb_hidden2': 143, 'nb_hidden1': 392, 'mse': 54195.078, 'learning_rate': 4.3189642174739005, 'keep_value': 0.25444627008515586, 'reg_scale': 1.9361405332921893e-05, 'nb_hidden_layer': 1}
