{'nb_hidden3': 390, 'nb_hidden2': 393, 'nb_hidden1': 388, 'mse': 36923.219, 'learning_rate': 2.4867752762426498, 'keep_value': 0.86770640680566913, 'reg_scale': 7.0305574230643275, 'nb_hidden_layer': 3}
{'nb_hidden3': 486, 'nb_hidden2': 91, 'nb_hidden1': 75, 'mse': 53592.969, 'learning_rate': 36.485993664178821, 'keep_value': 0.11731705710326945, 'reg_scale': 0.00014484251481839633, 'nb_hidden_layer': 1}
{'nb_hidden3': 159, 'nb_hidden2': 424, 'nb_hidden1': 418, 'mse': 0.12757339, 'learning_rate': 0.0030044466673125256, 'keep_value': 0.25433529116144105, 'reg_scale': 8.1172557034228654e-05, 'nb_hidden_layer': 3}
{'nb_hidden3': 60, 'nb_hidden2': 134, 'nb_hidden1': 396, 'mse': 7.6883316, 'learning_rate': 0.21245197281727027, 'keep_value': 0.84898244158245395, 'reg_scale': 0.00019945481098262289, 'nb_hidden_layer': 2}
{'nb_hidden3': 417, 'nb_hidden2': 380, 'nb_hidden1': 446, 'mse': 633.32556, 'learning_rate': 3.3550142020691021, 'keep_value': 0.96841193952394844, 'reg_scale': 3.7902802601527102e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 187, 'nb_hidden2': 275, 'nb_hidden1': 282, 'mse': 0.018215664, 'learning_rate': 0.0016137787497509813, 'keep_value': 0.32852857948907677, 'reg_scale': 1.8315262795880713, 'nb_hidden_layer': 1}
{'nb_hidden3': 409, 'nb_hidden2': 229, 'nb_hidden1': 495, 'mse': 221969.86, 'learning_rate': 6.9021215442138271, 'keep_value': 0.92892856006855562, 'reg_scale': 9.059907635877089e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 29, 'nb_hidden2': 287, 'nb_hidden1': 439, 'mse': 0.8906095, 'learning_rate': 0.14280848083839268, 'keep_value': 0.11539943290187016, 'reg_scale': 0.23818387797126925, 'nb_hidden_layer': 3}
{'nb_hidden3': 427, 'nb_hidden2': 58, 'nb_hidden1': 277, 'mse': 4328396.0, 'learning_rate': 64.064891820550429, 'keep_value': 0.46895260716056519, 'reg_scale': 0.00015269684914414938, 'nb_hidden_layer': 1}
{'nb_hidden3': 22, 'nb_hidden2': 403, 'nb_hidden1': 51, 'mse': 28.43294, 'learning_rate': 4.185504598676256e-05, 'keep_value': 0.91661116275613308, 'reg_scale': 1.7875683115630197e-08, 'nb_hidden_layer': 1}
