{'nb_hidden3': 314, 'nb_hidden2': 288, 'nb_hidden1': 393, 'mse': 52.308002, 'learning_rate': 0.0035114996900126724, 'keep_value': 0.21049087964895674, 'reg_scale': 0.00049302348083603439, 'nb_hidden_layer': 3}
{'nb_hidden3': 79, 'nb_hidden2': 467, 'nb_hidden1': 481, 'mse': 1069934.1, 'learning_rate': 13.495425337841327, 'keep_value': 0.29920402095305287, 'reg_scale': 8.0918756841618728e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 26, 'nb_hidden2': 268, 'nb_hidden1': 324, 'mse': 116.64514, 'learning_rate': 0.0017486627653100389, 'keep_value': 0.091592334952385168, 'reg_scale': 3.946489888304475, 'nb_hidden_layer': 3}
{'nb_hidden3': 139, 'nb_hidden2': 451, 'nb_hidden1': 53, 'mse': 32038.232, 'learning_rate': 1.9869656788590568, 'keep_value': 0.76312034497145376, 'reg_scale': 0.00015983477333012246, 'nb_hidden_layer': 2}
{'nb_hidden3': 329, 'nb_hidden2': 352, 'nb_hidden1': 109, 'mse': 52.568657, 'learning_rate': 0.0024093732697614231, 'keep_value': 0.35321487998479206, 'reg_scale': 0.021000262142339209, 'nb_hidden_layer': 2}
{'nb_hidden3': 133, 'nb_hidden2': 231, 'nb_hidden1': 387, 'mse': 51.883896, 'learning_rate': 0.07897043820378967, 'keep_value': 0.59252388678440204, 'reg_scale': 0.007392321334269359, 'nb_hidden_layer': 2}
{'nb_hidden3': 218, 'nb_hidden2': 183, 'nb_hidden1': 121, 'mse': 1637.4917, 'learning_rate': 1.1067196418556076, 'keep_value': 0.082159055287457816, 'reg_scale': 0.00052375152955005065, 'nb_hidden_layer': 1}
{'nb_hidden3': 318, 'nb_hidden2': 6, 'nb_hidden1': 319, 'mse': 4224875.0, 'learning_rate': 23.564973745040124, 'keep_value': 0.50980153674177597, 'reg_scale': 0.11324170030059201, 'nb_hidden_layer': 3}
{'nb_hidden3': 275, 'nb_hidden2': 237, 'nb_hidden1': 332, 'mse': 34.561981, 'learning_rate': 0.00082596920480352263, 'keep_value': 0.32131326558169548, 'reg_scale': 2.7495661876899002e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 278, 'nb_hidden2': 83, 'nb_hidden1': 453, 'mse': 52.206768, 'learning_rate': 0.0049737607572596567, 'keep_value': 0.91657842604181639, 'reg_scale': 2.2592514094908962e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 122, 'nb_hidden2': 23, 'nb_hidden1': 388, 'mse': 12493.245, 'learning_rate': 1.7050771549512664, 'keep_value': 0.22504831540818082, 'reg_scale': 3.5499312724181002e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 400, 'nb_hidden2': 107, 'nb_hidden1': 149, 'mse': 48.720959, 'learning_rate': 0.0013984609644015393, 'keep_value': 0.093877655189154585, 'reg_scale': 4.70589406821738, 'nb_hidden_layer': 1}
