{'nb_hidden3': 208, 'nb_hidden2': 66, 'nb_hidden1': 375, 'mse': 0.62087452, 'learning_rate': 0.073584547292796565, 'keep_value': 0.20847640810293755, 'reg_scale': 0.016388704244087348, 'nb_hidden_layer': 2}
{'nb_hidden3': 220, 'nb_hidden2': 108, 'nb_hidden1': 451, 'mse': 0.93801081, 'learning_rate': 1.0695809019548599e-05, 'keep_value': 0.39663226086925429, 'reg_scale': 0.0031456483212044788, 'nb_hidden_layer': 2}
{'nb_hidden3': 402, 'nb_hidden2': 152, 'nb_hidden1': 83, 'mse': 0.020817207, 'learning_rate': 0.00280767310716125, 'keep_value': 0.6545528885900106, 'reg_scale': 3.2346271156771056e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 328, 'nb_hidden2': 131, 'nb_hidden1': 275, 'mse': 0.16567579, 'learning_rate': 0.0083152198700038524, 'keep_value': 0.63955614630421542, 'reg_scale': 0.71727672010748655, 'nb_hidden_layer': 3}
{'nb_hidden3': 470, 'nb_hidden2': 61, 'nb_hidden1': 367, 'mse': 0.24869633, 'learning_rate': 0.00026880094296007876, 'keep_value': 0.57503965612559815, 'reg_scale': 0.0011605538342227314, 'nb_hidden_layer': 1}
{'nb_hidden3': 101, 'nb_hidden2': 409, 'nb_hidden1': 137, 'mse': 10755.648, 'learning_rate': 5.1924372867492972, 'keep_value': 0.6611778904702974, 'reg_scale': 0.0017533738755869863, 'nb_hidden_layer': 2}
{'nb_hidden3': 244, 'nb_hidden2': 294, 'nb_hidden1': 431, 'mse': 0.011430733, 'learning_rate': 0.0031414831230462043, 'keep_value': 0.029550169709420038, 'reg_scale': 8.0003494269322911e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 85, 'nb_hidden2': 249, 'nb_hidden1': 27, 'mse': 20344874.0, 'learning_rate': 77.899661750003489, 'keep_value': 0.36000462160069591, 'reg_scale': 2.3946390302001544e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 236, 'nb_hidden2': 482, 'nb_hidden1': 403, 'mse': 3774.354, 'learning_rate': 0.38810709906423513, 'keep_value': 0.60324703048338635, 'reg_scale': 0.0011726685369149905, 'nb_hidden_layer': 2}
{'nb_hidden3': 125, 'nb_hidden2': 407, 'nb_hidden1': 55, 'mse': 0.84622395, 'learning_rate': 0.31226784301992422, 'keep_value': 0.29598852781460416, 'reg_scale': 0.0084554693981624077, 'nb_hidden_layer': 3}
{'nb_hidden3': 85, 'nb_hidden2': 406, 'nb_hidden1': 40, 'mse': 0.14060825, 'learning_rate': 0.0066413926108599801, 'keep_value': 0.4935664692102415, 'reg_scale': 1.5538582434512215e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 296, 'nb_hidden2': 478, 'nb_hidden1': 15, 'mse': 5.4376402, 'learning_rate': 1.3177825748293022e-05, 'keep_value': 0.3267949669818484, 'reg_scale': 0.16531218571551667, 'nb_hidden_layer': 1}
{'nb_hidden3': 131, 'nb_hidden2': 300, 'nb_hidden1': 60, 'mse': 0.059220035, 'learning_rate': 0.0086319164815825133, 'keep_value': 0.43169999378693324, 'reg_scale': 0.73476381555860804, 'nb_hidden_layer': 2}
{'nb_hidden3': 324, 'nb_hidden2': 359, 'nb_hidden1': 478, 'mse': 142048.45, 'learning_rate': 4.8639300161201993, 'keep_value': 0.11641176324536584, 'reg_scale': 0.00011455339560297776, 'nb_hidden_layer': 3}
{'nb_hidden3': 402, 'nb_hidden2': 463, 'nb_hidden1': 120, 'mse': 3.7371778, 'learning_rate': 0.076472303872480815, 'keep_value': 0.24687017097240138, 'reg_scale': 1.1379100090787992, 'nb_hidden_layer': 1}
{'nb_hidden3': 484, 'nb_hidden2': 41, 'nb_hidden1': 277, 'mse': 0.2194612, 'learning_rate': 0.071125811617705065, 'keep_value': 0.67350068408519403, 'reg_scale': 1.8804994004492941e-05, 'nb_hidden_layer': 1}
{'nb_hidden3': 352, 'nb_hidden2': 479, 'nb_hidden1': 229, 'mse': 19207.545, 'learning_rate': 17.804528790014977, 'keep_value': 0.12690203153252144, 'reg_scale': 0.00058587531988182472, 'nb_hidden_layer': 1}
{'nb_hidden3': 477, 'nb_hidden2': 489, 'nb_hidden1': 308, 'mse': 56679064.0, 'learning_rate': 88.31452580316278, 'keep_value': 0.38107121460154758, 'reg_scale': 1.8801759349906366, 'nb_hidden_layer': 2}
{'nb_hidden3': 439, 'nb_hidden2': 489, 'nb_hidden1': 330, 'mse': 1.4425527, 'learning_rate': 0.31440475686436004, 'keep_value': 0.38126047438508515, 'reg_scale': 7.4461832068563672e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 356, 'nb_hidden2': 391, 'nb_hidden1': 195, 'mse': 1.8023217, 'learning_rate': 0.047590024709362432, 'keep_value': 0.95923694033457063, 'reg_scale': 4.2635494751676354e-06, 'nb_hidden_layer': 1}
{'nb_hidden3': 226, 'nb_hidden2': 409, 'nb_hidden1': 226, 'mse': 0.43742844, 'learning_rate': 0.0063229340900228179, 'keep_value': 0.48210859590301447, 'reg_scale': 1.1252803138584845e-07, 'nb_hidden_layer': 1}
{'nb_hidden3': 448, 'nb_hidden2': 281, 'nb_hidden1': 345, 'mse': 0.75442678, 'learning_rate': 0.0010876592443867072, 'keep_value': 0.17585116052578875, 'reg_scale': 0.073188712326144448, 'nb_hidden_layer': 3}
{'nb_hidden3': 413, 'nb_hidden2': 171, 'nb_hidden1': 456, 'mse': 8542.6367, 'learning_rate': 2.8227590344781484, 'keep_value': 0.87948393337763664, 'reg_scale': 1.2620809701540653e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 101, 'nb_hidden2': 494, 'nb_hidden1': 72, 'mse': 0.038617052, 'learning_rate': 0.01152045933314468, 'keep_value': 0.28161825374843963, 'reg_scale': 3.2340922965572945e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 298, 'nb_hidden2': 202, 'nb_hidden1': 305, 'mse': 10018161.0, 'learning_rate': 76.422389722751987, 'keep_value': 0.69805979896151416, 'reg_scale': 3.3944885253804322e-06, 'nb_hidden_layer': 2}
