{'nb_hidden3': 91, 'nb_hidden2': 15, 'nb_hidden1': 46, 'mse': 980.87946, 'learning_rate': 0.10930514040896737, 'keep_value': 0.18599205012823716, 'reg_scale': 1.2137125083655322e-06, 'nb_hidden_layer': 2}
{'nb_hidden3': 162, 'nb_hidden2': 429, 'nb_hidden1': 77, 'mse': 3612.2827, 'learning_rate': 0.61471934071990575, 'keep_value': 0.27147217825191383, 'reg_scale': 0.026372702681054964, 'nb_hidden_layer': 2}
{'nb_hidden3': 124, 'nb_hidden2': 478, 'nb_hidden1': 73, 'mse': 916.53864, 'learning_rate': 6.6991571232419788e-05, 'keep_value': 0.15311786568922436, 'reg_scale': 2.0955491658121862e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 420, 'nb_hidden2': 81, 'nb_hidden1': 153, 'mse': 862.3277, 'learning_rate': 0.00051403987844615803, 'keep_value': 0.80844406204653296, 'reg_scale': 0.43918104409655445, 'nb_hidden_layer': 3}
{'nb_hidden3': 302, 'nb_hidden2': 50, 'nb_hidden1': 381, 'mse': 989.62231, 'learning_rate': 0.57671612588069432, 'keep_value': 0.89553361770452777, 'reg_scale': 1.3127360576466751e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 283, 'nb_hidden2': 175, 'nb_hidden1': 431, 'mse': 904.09644, 'learning_rate': 0.067490251688058223, 'keep_value': 0.013809274618289735, 'reg_scale': 1.3041879686549592e-08, 'nb_hidden_layer': 1}
{'nb_hidden3': 102, 'nb_hidden2': 396, 'nb_hidden1': 267, 'mse': 874.39587, 'learning_rate': 0.0039061029504940609, 'keep_value': 0.7418263871926577, 'reg_scale': 0.18361170115113656, 'nb_hidden_layer': 1}
{'nb_hidden3': 71, 'nb_hidden2': 360, 'nb_hidden1': 294, 'mse': 1914.9355, 'learning_rate': 1.8886844915144327, 'keep_value': 0.67103511736759525, 'reg_scale': 0.0044082618564876041, 'nb_hidden_layer': 2}
{'nb_hidden3': 269, 'nb_hidden2': 86, 'nb_hidden1': 367, 'mse': 917.55542, 'learning_rate': 4.4332104259858114e-05, 'keep_value': 0.95173895409666687, 'reg_scale': 4.6953779462200091e-07, 'nb_hidden_layer': 3}
{'nb_hidden3': 113, 'nb_hidden2': 167, 'nb_hidden1': 418, 'mse': 33057.473, 'learning_rate': 7.0527014735591846, 'keep_value': 0.58465544438092332, 'reg_scale': 0.00021591358473428514, 'nb_hidden_layer': 3}
{'nb_hidden3': 82, 'nb_hidden2': 17, 'nb_hidden1': 139, 'mse': 4503.7524, 'learning_rate': 0.0002394379752238004, 'keep_value': 0.9933040066726283, 'reg_scale': 2.6190962143397104e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 468, 'nb_hidden2': 452, 'nb_hidden1': 113, 'mse': 1003348.8, 'learning_rate': 18.40561567625846, 'keep_value': 0.0037340267593169996, 'reg_scale': 5.4463705287299343e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 216, 'nb_hidden2': 221, 'nb_hidden1': 153, 'mse': 988.28833, 'learning_rate': 0.039811163132457236, 'keep_value': 0.18365045871490993, 'reg_scale': 0.54380379770501253, 'nb_hidden_layer': 3}
{'nb_hidden3': 405, 'nb_hidden2': 277, 'nb_hidden1': 44, 'mse': 4566.8418, 'learning_rate': 2.449540691694136e-05, 'keep_value': 0.58538246348325107, 'reg_scale': 1.2958107673689019, 'nb_hidden_layer': 2}
{'nb_hidden3': 25, 'nb_hidden2': 290, 'nb_hidden1': 332, 'mse': 3666794.2, 'learning_rate': 38.249962619924894, 'keep_value': 0.84775258810970744, 'reg_scale': 0.00063309001853419696, 'nb_hidden_layer': 1}
{'nb_hidden3': 327, 'nb_hidden2': 282, 'nb_hidden1': 153, 'mse': 4036.7725, 'learning_rate': 1.8088055189184757, 'keep_value': 0.41781138607043355, 'reg_scale': 0.18693087184990875, 'nb_hidden_layer': 1}
{'nb_hidden3': 161, 'nb_hidden2': 401, 'nb_hidden1': 452, 'mse': 1087.2866, 'learning_rate': 0.10255002738781015, 'keep_value': 0.86442546941458664, 'reg_scale': 2.7132342843528016e-05, 'nb_hidden_layer': 2}
{'nb_hidden3': 446, 'nb_hidden2': 478, 'nb_hidden1': 385, 'mse': 846.64294, 'learning_rate': 0.00011690800325249593, 'keep_value': 0.34463462226338826, 'reg_scale': 1.7635179203258027, 'nb_hidden_layer': 3}
{'nb_hidden3': 234, 'nb_hidden2': 428, 'nb_hidden1': 136, 'mse': 1002.8966, 'learning_rate': 4.4094130683271882, 'keep_value': 0.76942353450828005, 'reg_scale': 4.2613197865670742e-08, 'nb_hidden_layer': 3}
{'nb_hidden3': 168, 'nb_hidden2': 360, 'nb_hidden1': 317, 'mse': 1370.0774, 'learning_rate': 2.5879549144144322e-05, 'keep_value': 0.4426305076274818, 'reg_scale': 0.00040451435420761075, 'nb_hidden_layer': 3}
{'nb_hidden3': 105, 'nb_hidden2': 403, 'nb_hidden1': 211, 'mse': 911.828, 'learning_rate': 3.6930649704265486e-05, 'keep_value': 0.28045890598929524, 'reg_scale': 6.8352643795676572e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 251, 'nb_hidden2': 213, 'nb_hidden1': 70, 'mse': 841.19043, 'learning_rate': 0.00044480305571447933, 'keep_value': 0.75973588418670379, 'reg_scale': 3.344500103307302e-08, 'nb_hidden_layer': 2}
{'nb_hidden3': 471, 'nb_hidden2': 156, 'nb_hidden1': 226, 'mse': 3667.5432, 'learning_rate': 7.0159094668423183e-05, 'keep_value': 0.44136987185656995, 'reg_scale': 0.0038287342892765349, 'nb_hidden_layer': 1}
{'nb_hidden3': 52, 'nb_hidden2': 147, 'nb_hidden1': 339, 'mse': 831.08911, 'learning_rate': 0.0010798409524430317, 'keep_value': 0.69328603578196757, 'reg_scale': 1.0769090438025543e-07, 'nb_hidden_layer': 2}
{'nb_hidden3': 130, 'nb_hidden2': 90, 'nb_hidden1': 98, 'mse': 857.26147, 'learning_rate': 0.0023818548970687102, 'keep_value': 0.80896851431992933, 'reg_scale': 2.1283217046674181e-05, 'nb_hidden_layer': 1}
